Product_Name,Price,Rating,RnR,Page,Processor,RAM,Storage,Battery,Screen_size,Brand,Front_camera
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)",8199.0,4.4,"5,200 Ratings & 302 Reviews",1,MediaTek G37 Processor,4 GB RAM, 64 GB ROM,6000 mAh Li-ion Polymer Battery,"['17.32 cm', '6.82 inch']",4, 8MP Front
"Infinix HOT 20 Play (Racing Black, 64 GB)",8199.0,4.4,"5,200 Ratings & 302 Reviews",1,MediaTek G37 Processor,4 GB RAM, 64 GB ROM,6000 mAh Li-ion Polymer Battery,"['17.32 cm', '6.82 inch']",4, 8MP Front
"Infinix HOT 20 Play (Aurora Green, 64 GB)",8199.0,4.4,"5,200 Ratings & 302 Reviews",1,MediaTek G37 Processor,4 GB RAM, 64 GB ROM,6000 mAh Li-ion Polymer Battery,"['17.32 cm', '6.82 inch']",4, 8MP Front
"Infinix HOT 20 Play (Luna Blue, 64 GB)",8199.0,4.4,"5,200 Ratings & 302 Reviews",1,MediaTek G37 Processor,4 GB RAM, 64 GB ROM,6000 mAh Li-ion Polymer Battery,"['17.32 cm', '6.82 inch']",4, 8MP Front
"realme C33 (Night Sea, 32 GB)",8999.0,4.4,"17,759 Ratings & 765 Reviews",1,Unisoc T612 Processor,3 GB RAM, 32 GB ROM,5000 mAh Lithium Ion Battery,"['16.51 cm', '6.5 inch']",3, 5MP Front
"Infinix Smart 6 HD (Origin Blue, 32 GB)",5599.0,4.4,"19,401 Ratings & 1,092 Reviews",1,Mediatek Helio A22 Processor,2 GB RAM, 32 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.76 cm', '6.6 inch']",2, 5MP Front
"vivo T1 44W (Starry Sky, 128 GB)",14499.0,4.5,"81,911 Ratings & 5,783 Reviews",1,Qualcomm Snapdragon 680 Processor,4 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.36 cm', '6.44 inch']",4, 16MP Front
"Infinix Smart 6 HD (Aqua Sky, 32 GB)",5599.0,4.4,"19,401 Ratings & 1,092 Reviews",1,Mediatek Helio A22 Processor,2 GB RAM, 32 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.76 cm', '6.6 inch']",2, 5MP Front
"Infinix Smart 6 HD (Force Black, 32 GB)",5599.0,4.4,"19,401 Ratings & 1,092 Reviews",1,Mediatek Helio A22 Processor,2 GB RAM, 32 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.76 cm', '6.6 inch']",2, 5MP Front
"realme C33 (Sandy Gold, 32 GB)",8999.0,4.4,"17,759 Ratings & 765 Reviews",1,Unisoc T612 Processor,3 GB RAM, 32 GB ROM,5000 mAh Lithium Ion Battery,"['16.51 cm', '6.5 inch']",3, 5MP Front
"vivo T1 44W (Midnight Galaxy, 128 GB)",15999.0,4.4,"48,356 Ratings & 3,612 Reviews",1,Qualcomm Snapdragon 680 Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.36 cm', '6.44 inch']",6, 16MP Front
"vivo T1 44W (Ice Dawn, 128 GB)",14499.0,4.5,"81,911 Ratings & 5,783 Reviews",1,Qualcomm Snapdragon 680 Processor,4 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.36 cm', '6.44 inch']",4, 16MP Front
"realme C33 (Aqua Blue, 64 GB)",9999.0,4.4,"56,001 Ratings & 2,444 Reviews",1,Unisoc T612 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium Ion Battery,"['16.51 cm', '6.5 inch']",4, 5MP Front
"POCO C31 (Royal Blue, 64 GB)",7749.0,4.3,"1,94,459 Ratings & 11,495 Reviews",1,MediaTek G35 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.59 cm', '6.53 inch']",4, 5MP Front
"realme C33 (Night Sea, 64 GB)",9999.0,4.4,"56,001 Ratings & 2,444 Reviews",1,Unisoc T612 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium Ion Battery,"['16.51 cm', '6.5 inch']",4, 5MP Front
"realme C33 (Aqua Blue, 32 GB)",8999.0,4.4,"17,759 Ratings & 765 Reviews",1,Unisoc T612 Processor,3 GB RAM, 32 GB ROM,5000 mAh Lithium Ion Battery,"['16.51 cm', '6.5 inch']",3, 5MP Front
"MOTOROLA g52 (Charcoal Grey, 128 GB)",12999.0,4.2,"25,192 Ratings & 3,046 Reviews",1,Qualcomm Snapdragon 680 Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.76 cm', '6.6 inch']",6, 16MP Front
"MOTOROLA e40 (Carbon Gray, 64 GB)",8299.0,4.1,"66,710 Ratings & 6,388 Reviews",1,UNISOC T700 Processor,4 GB RAM, 64 GB ROM,5000 mAh Battery,"['16.51 cm', '6.5 inch']",4, 8MP Front
"vivo T1 44W (Starry Sky, 128 GB)",15999.0,4.4,"48,356 Ratings & 3,612 Reviews",1,Qualcomm Snapdragon 680 Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.36 cm', '6.44 inch']",6, 16MP Front
"vivo T1 44W (Midnight Galaxy, 128 GB)",17999.0,4.3,"5,524 Ratings & 465 Reviews",1,Qualcomm Snapdragon 680 Processor,8 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.36 cm', '6.44 inch']",8, 16MP Front
"vivo T1 44W (Midnight Galaxy, 128 GB)",14499.0,4.5,"81,911 Ratings & 5,783 Reviews",1,Qualcomm Snapdragon 680 Processor,4 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.36 cm', '6.44 inch']",4, 16MP Front
"vivo T1 44W (Starry Sky, 128 GB)",17999.0,4.3,"5,524 Ratings & 465 Reviews",1,Qualcomm Snapdragon 680 Processor,8 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.36 cm', '6.44 inch']",8, 16MP Front
"MOTOROLA G62 5G (Frosted Blue, 128 GB)",15999.0,4.1,"2,967 Ratings & 312 Reviews",1,Qualcomm Snapdragon 695 5G Processor,8 GB RAM, 128 GB ROM,5000 mAh Lithium Polymer Battery,"['16.64 cm', '6.55 inch']",8, 16MP Front
"Infinix Smart 6 (Light Sea Green, 64 GB)",6499.0,4.3,"29,205 Ratings & 2,011 Reviews",1,Mediatek Helio A22 Processor,2 GB RAM, 64 GB ROM,5000 mAh Li-ion Polymer Battery,"['16.76 cm', '6.6 inch']",2, 5MP Front
"MOTOROLA g52 (Charcoal Grey, 128 GB)",12999.0,4.2,"25,192 Ratings & 3,046 Reviews",2,Qualcomm Snapdragon 680 Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.76 cm', '6.6 inch']",6, 16MP Front
"REDMI Note 11 SE (Cosmic White, 64 GB)",11999.0,4.3,"36,139 Ratings & 2,246 Reviews",2,Mediatek Helio G95 Octa Core Processor,6 GB RAM, 64 GB ROM,5000 mAh Lithium Polymer Battery,"['16.33 cm', '6.43 inch']",6, 13MP Front
"MOTOROLA G62 5G (Frosted Blue, 128 GB)",15999.0,4.1,"2,967 Ratings & 312 Reviews",2,Qualcomm Snapdragon 695 5G Processor,8 GB RAM, 128 GB ROM,5000 mAh Lithium Polymer Battery,"['16.64 cm', '6.55 inch']",8, 16MP Front
"MOTOROLA G32 (Mineral Gray, 64 GB)",10499.0,4.2,"24,479 Ratings & 2,406 Reviews",2,Qualcomm Snapdragon 680 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium Polymer Battery,"['16.64 cm', '6.55 inch']",4, 16MP Front
"MOTOROLA G62 5G (Midnight Gray, 128 GB)",14999.0,4.1,"14,432 Ratings & 1,477 Reviews",2,Qualcomm Snapdragon 695 5G Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Polymer Battery,"['16.64 cm', '6.55 inch']",6, 16MP Front
"MOTOROLA g42 (Atlantic Green, 64 GB)",10999.0,4.2,"4,719 Ratings & 552 Reviews",2,Qualcomm Snapdragon 680 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium polymer Battery,"['16.43 cm', '6.47 inch']",4, 16MP Front
"MOTOROLA g52 (Charcoal Grey, 64 GB)",10999.0,4.2,"9,077 Ratings & 1,136 Reviews",2,Qualcomm Snapdragon 680 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium Battery,"['16.76 cm', '6.6 inch']",4, 16MP Front
